year,county_fips,unemployment_rate
2024,01065,4.1
2024,01065,4.4
2024,01065,4.5
2024,01065,4.4
2024,01065,5.1
2024,01065,4.9
2024,01065,4.9
2024,01065,3.1
2024,01065,3.3
2024,01065,3.8
2024,01065,4.3
2024,01065,4.4
2023,01065,3.6
2023,01065,3.2
2023,01065,3.6
2023,01065,3.5
2023,01065,3.7
2023,01065,3.8
2023,01065,3.9
2023,01065,2.8
2023,01065,2.4
2023,01065,3.1
2023,01065,3.7
2023,01065,4
2022,01065,3.1
2022,01065,3.3
2022,01065,4
2022,01065,4
2022,01065,5
2022,01065,5
2022,01065,5
2022,01065,3.5
2022,01065,3.4
2022,01065,3.8
2022,01065,4.7
2022,01065,4.9
2024,01067,3.5
2024,01067,3.5
2024,01067,3.5
2024,01067,3.4
2024,01067,3.5
2024,01067,3.4
2024,01067,3.4
2024,01067,2.5
2024,01067,2.4
2024,01067,3
2024,01067,3.2
2024,01067,3
2023,01067,2.5
2023,01067,2.4
2023,01067,2.4
2023,01067,2.5
2023,01067,2.7
2023,01067,2.5
2023,01067,2.7
2023,01067,1.9
2023,01067,1.7
2023,01067,1.9
2023,01067,2.3
2023,01067,2.5
2022,01067,1.8
2022,01067,2.1
2022,01067,2.3
2022,01067,2.2
2022,01067,2.6
2022,01067,2.7
2022,01067,3
2022,01067,2
2022,01067,1.9
2022,01067,2.2
2022,01067,2.7
2022,01067,2.9
2024,01069,3.4
2024,01069,3.3
2024,01069,3.3
2024,01069,3.3
2024,01069,3.6
2024,01069,3.3
2024,01069,3.2
2024,01069,2.4
2024,01069,2.4
2024,01069,2.8
2024,01069,3.3
2024,01069,3.4
2023,01069,2.6
2023,01069,2.6
2023,01069,2.7
2023,01069,2.7
2023,01069,2.8
2023,01069,2.6
2023,01069,2.8
2023,01069,2.1
2023,01069,1.8
2023,01069,2.2
2023,01069,2.6
2023,01069,2.8
2022,01069,2.1
2022,01069,2.1
2022,01069,2.4
2022,01069,2.3
2022,01069,2.8
2022,01069,2.8
2022,01069,3
2022,01069,2.1
2022,01069,2
2022,01069,2.3
2022,01069,2.8
2022,01069,3.1
